,State,Year,Quarter,Brands,User_Count,User_Percentage
75,andaman-&-nicobar-islands,2019,3,Lenovo,483,2.0183026200325935
76,andaman-&-nicobar-islands,2019,3,Others,2110,8.81701558647779
77,andaman-&-nicobar-islands,2019,4,Xiaomi,6259,24.110169491525426
78,andaman-&-nicobar-islands,2019,4,Vivo,5190,19.992295839753467
79,andaman-&-nicobar-islands,2019,4,Samsung,4900,18.875192604006163
80,andaman-&-nicobar-islands,2019,4,Oppo,2329,8.971494607087829
81,andaman-&-nicobar-islands,2019,4,Realme,1329,5.119414483821264
82,andaman-&-nicobar-islands,2019,4,OnePlus,1124,4.329738058551618
83,andaman-&-nicobar-islands,2019,4,Huawei,798,3.073959938366718
84,andaman-&-nicobar-islands,2019,4,Motorola,682,2.6271186440677963
85,andaman-&-nicobar-islands,2019,4,Apple,678,2.61171032357473
86,andaman-&-nicobar-islands,2019,4,Lenovo,488,1.8798151001540833
87,andaman-&-nicobar-islands,2019,4,Others,2183,8.409090909090908
88,andaman-&-nicobar-islands,2020,1,Xiaomi,6803,23.981246474901297
89,andaman-&-nicobar-islands,2020,1,Vivo,5880,20.727580372250422
90,andaman-&-nicobar-islands,2020,1,Samsung,5335,18.80640157924422
91,andaman-&-nicobar-islands,2020,1,Oppo,2557,9.013677382966723
92,andaman-&-nicobar-islands,2020,1,Realme,1511,5.3264241398759165
93,andaman-&-nicobar-islands,2020,1,OnePlus,1184,4.173716864072194
94,andaman-&-nicobar-islands,2020,1,Huawei,891,3.140862944162436
95,andaman-&-nicobar-islands,2020,1,Apple,735,2.5909475465313028
96,andaman-&-nicobar-islands,2020,1,Motorola,715,2.5204455724760293
97,andaman-&-nicobar-islands,2020,1,Lenovo,500,1.7625493513818387
98,andaman-&-nicobar-islands,2020,1,Others,2257,7.95614777213762
99,andaman-&-nicobar-islands,2020,2,Xiaomi,7805,23.861204524610212
100,andaman-&-nicobar-islands,2020,2,Vivo,7122,21.773158055640476
101,andaman-&-nicobar-islands,2020,2,Samsung,6030,18.43472944053806
102,andaman-&-nicobar-islands,2020,2,Oppo,2976,9.098135126872515
103,andaman-&-nicobar-islands,2020,2,Realme,1761,5.3836747172118615
104,andaman-&-nicobar-islands,2020,2,OnePlus,1271,3.8856618771018034
105,andaman-&-nicobar-islands,2020,2,Huawei,1005,3.072454906756344
106,andaman-&-nicobar-islands,2020,2,Apple,792,2.421277896667686
107,andaman-&-nicobar-islands,2020,2,Motorola,779,2.3815346988688475
108,andaman-&-nicobar-islands,2020,2,Lenovo,552,1.687557321919902
109,andaman-&-nicobar-islands,2020,2,Others,2617,8.00061143381229
110,andaman-&-nicobar-islands,2020,3,Xiaomi,9794,23.69420587879521
111,andaman-&-nicobar-islands,2020,3,Vivo,9556,23.118422644248216
112,andaman-&-nicobar-islands,2020,3,Samsung,7572,18.318616184831257
113,andaman-&-nicobar-islands,2020,3,Oppo,3730,9.023829684286925
114,andaman-&-nicobar-islands,2020,3,Realme,2285,5.528002903108745
115,andaman-&-nicobar-islands,2020,3,OnePlus,1440,3.4837304947381154
116,andaman-&-nicobar-islands,2020,3,Huawei,1213,2.9345590903592598
117,andaman-&-nicobar-islands,2020,3,Motorola,907,2.1942663602274104
118,andaman-&-nicobar-islands,2020,3,Apple,870,2.1047538405709445
119,andaman-&-nicobar-islands,2020,3,Lenovo,606,1.4660699165356235
120,andaman-&-nicobar-islands,2020,3,Others,3362,8.133543002298294
121,andaman-&-nicobar-islands,2020,4,Xiaomi,12398,23.6621116115734
122,andaman-&-nicobar-islands,2020,4,Vivo,12275,23.427360867241774
123,andaman-&-nicobar-islands,2020,4,Samsung,9938,18.967096724940834
124,andaman-&-nicobar-islands,2020,4,Oppo,4723,9.01404687380716
125,andaman-&-nicobar-islands,2020,4,Realme,2996,5.717993739980151
126,andaman-&-nicobar-islands,2020,4,OnePlus,1638,3.1261928391480267
127,andaman-&-nicobar-islands,2020,4,Huawei,1472,2.8093747614321702
128,andaman-&-nicobar-islands,2020,4,Motorola,1032,1.9696160012214674
129,andaman-&-nicobar-islands,2020,4,Apple,973,1.8570119856477594
130,andaman-&-nicobar-islands,2020,4,Lenovo,708,1.351248186884495
131,andaman-&-nicobar-islands,2020,4,Others,4243,8.097946408122759
132,andaman-&-nicobar-islands,2021,1,Vivo,13812,23.913570414488035
133,andaman-&-nicobar-islands,2021,1,Xiaomi,13714,23.74389694934035
134,andaman-&-nicobar-islands,2021,1,Samsung,10861,18.8043214792756
135,andaman-&-nicobar-islands,2021,1,Oppo,5158,8.930364624813878
136,andaman-&-nicobar-islands,2021,1,Realme,3419,5.919526299387098
137,andaman-&-nicobar-islands,2021,1,OnePlus,1773,3.069704629661692
138,andaman-&-nicobar-islands,2021,1,Huawei,1575,2.7268949755877974
139,andaman-&-nicobar-islands,2021,1,Motorola,1062,1.8387063263963432
140,andaman-&-nicobar-islands,2021,1,Apple,1056,1.8283181550607708
141,andaman-&-nicobar-islands,2021,1,Tecno,796,1.3781640638526265
142,andaman-&-nicobar-islands,2021,1,Others,4532,7.846532082135808
143,andaman-&-nicobar-islands,2021,2,Vivo,15056,24.246718737418473
144,andaman-&-nicobar-islands,2021,2,Xiaomi,14788,23.81512199049843
145,andaman-&-nicobar-islands,2021,2,Samsung,11476,18.481359207665673
146,andaman-&-nicobar-islands,2021,2,Oppo,5456,8.78653675819309
147,andaman-&-nicobar-islands,2021,2,Realme,4034,6.496497302520332
148,andaman-&-nicobar-islands,2021,2,OnePlus,1981,3.1902729688380704
149,andaman-&-nicobar-islands,2021,2,Huawei,1559,2.5106691360012885
150,andaman-&-nicobar-islands,2021,2,Apple,1153,1.8568322731298814
151,andaman-&-nicobar-islands,2021,2,Motorola,1054,1.69739914646912
152,andaman-&-nicobar-islands,2021,2,Tecno,974,1.5685642966422417
153,andaman-&-nicobar-islands,2021,2,Others,4564,7.3500281826234
154,andaman-&-nicobar-islands,2021,3,Vivo,16411,24.500612104744558
155,andaman-&-nicobar-islands,2021,3,Xiaomi,15938,23.79445224090054
156,andaman-&-nicobar-islands,2021,3,Samsung,12028,17.957063091576842
157,andaman-&-nicobar-islands,2021,3,Oppo,5853,8.73816846316921
158,andaman-&-nicobar-islands,2021,3,Realme,4808,7.17804783374638
159,andaman-&-nicobar-islands,2021,3,OnePlus,2306,3.442715953539757
160,andaman-&-nicobar-islands,2021,3,Huawei,1567,2.3394344749335643
161,andaman-&-nicobar-islands,2021,3,Apple,1283,1.915439968946881
162,andaman-&-nicobar-islands,2021,3,Tecno,1178,1.7586814368039174
163,andaman-&-nicobar-islands,2021,3,Motorola,1017,1.5183183541847063
164,andaman-&-nicobar-islands,2021,3,Others,4593,6.857066077453644
165,andaman-&-nicobar-islands,2021,4,Vivo,17597,24.515185288381165
166,andaman-&-nicobar-islands,2021,4,Xiaomi,16968,23.63889662858735
167,andaman-&-nicobar-islands,2021,4,Samsung,12574,17.517414321538034
168,andaman-&-nicobar-islands,2021,4,Oppo,6127,8.535803845082196
169,andaman-&-nicobar-islands,2021,4,Realme,5830,8.122039565338534
