,State,Year,Quarter,District,Registered_User
94,andhra-pradesh,2018,2,chittoor district,414306
95,andhra-pradesh,2018,3,east godavari district,558982
96,andhra-pradesh,2018,3,srikakulam district,228456
97,andhra-pradesh,2018,3,visakhapatnam district,769096
98,andhra-pradesh,2018,3,prakasam district,314899
99,andhra-pradesh,2018,3,anantapur district,405855
100,andhra-pradesh,2018,3,kurnool district,394311
101,andhra-pradesh,2018,3,guntur district,518931
102,andhra-pradesh,2018,3,krishna district,537086
103,andhra-pradesh,2018,3,spsr nellore district,322446
104,andhra-pradesh,2018,3,vizianagaram district,203655
105,andhra-pradesh,2018,3,ysr district,308391
106,andhra-pradesh,2018,3,west godavari district,349782
107,andhra-pradesh,2018,3,chittoor district,515727
108,andhra-pradesh,2018,4,east godavari district,694455
109,andhra-pradesh,2018,4,srikakulam district,284874
110,andhra-pradesh,2018,4,visakhapatnam district,978288
111,andhra-pradesh,2018,4,prakasam district,394962
112,andhra-pradesh,2018,4,anantapur district,510892
113,andhra-pradesh,2018,4,kurnool district,498582
114,andhra-pradesh,2018,4,guntur district,659552
115,andhra-pradesh,2018,4,krishna district,682479
116,andhra-pradesh,2018,4,spsr nellore district,407495
117,andhra-pradesh,2018,4,vizianagaram district,257824
118,andhra-pradesh,2018,4,ysr district,387058
119,andhra-pradesh,2018,4,west godavari district,435668
120,andhra-pradesh,2018,4,chittoor district,665280
121,andhra-pradesh,2019,1,east godavari district,839277
122,andhra-pradesh,2019,1,srikakulam district,345775
123,andhra-pradesh,2019,1,visakhapatnam district,1174517
124,andhra-pradesh,2019,1,prakasam district,474260
125,andhra-pradesh,2019,1,anantapur district,612162
126,andhra-pradesh,2019,1,kurnool district,599422
127,andhra-pradesh,2019,1,guntur district,802394
128,andhra-pradesh,2019,1,krishna district,833694
129,andhra-pradesh,2019,1,spsr nellore district,491908
130,andhra-pradesh,2019,1,vizianagaram district,313334
131,andhra-pradesh,2019,1,ysr district,460590
132,andhra-pradesh,2019,1,west godavari district,523372
133,andhra-pradesh,2019,1,chittoor district,812314
134,andhra-pradesh,2019,2,east godavari district,945181
135,andhra-pradesh,2019,2,srikakulam district,392764
136,andhra-pradesh,2019,2,visakhapatnam district,1318740
137,andhra-pradesh,2019,2,prakasam district,539462
138,andhra-pradesh,2019,2,anantapur district,695114
139,andhra-pradesh,2019,2,kurnool district,680118
140,andhra-pradesh,2019,2,guntur district,915256
141,andhra-pradesh,2019,2,krishna district,952300
142,andhra-pradesh,2019,2,spsr nellore district,558303
143,andhra-pradesh,2019,2,vizianagaram district,355058
144,andhra-pradesh,2019,2,ysr district,519031
145,andhra-pradesh,2019,2,west godavari district,592185
146,andhra-pradesh,2019,2,chittoor district,925491
147,andhra-pradesh,2019,3,east godavari district,1057167
148,andhra-pradesh,2019,3,srikakulam district,437939
149,andhra-pradesh,2019,3,visakhapatnam district,1460464
150,andhra-pradesh,2019,3,prakasam district,598568
151,andhra-pradesh,2019,3,anantapur district,773656
152,andhra-pradesh,2019,3,kurnool district,755024
153,andhra-pradesh,2019,3,guntur district,1026418
154,andhra-pradesh,2019,3,krishna district,1066546
155,andhra-pradesh,2019,3,spsr nellore district,619592
156,andhra-pradesh,2019,3,vizianagaram district,394375
157,andhra-pradesh,2019,3,ysr district,574109
158,andhra-pradesh,2019,3,west godavari district,662102
159,andhra-pradesh,2019,3,chittoor district,1032733
160,andhra-pradesh,2019,4,east godavari district,1195228
161,andhra-pradesh,2019,4,srikakulam district,496266
162,andhra-pradesh,2019,4,visakhapatnam district,1620235
163,andhra-pradesh,2019,4,prakasam district,673522
164,andhra-pradesh,2019,4,anantapur district,873033
165,andhra-pradesh,2019,4,kurnool district,846885
166,andhra-pradesh,2019,4,guntur district,1158708
167,andhra-pradesh,2019,4,krishna district,1199971
168,andhra-pradesh,2019,4,spsr nellore district,697154
169,andhra-pradesh,2019,4,vizianagaram district,443810
170,andhra-pradesh,2019,4,ysr district,646642
171,andhra-pradesh,2019,4,west godavari district,750078
172,andhra-pradesh,2019,4,chittoor district,1156351
173,andhra-pradesh,2020,1,east godavari district,1329664
174,andhra-pradesh,2020,1,srikakulam district,552007
175,andhra-pradesh,2020,1,visakhapatnam district,1763581
176,andhra-pradesh,2020,1,prakasam district,748655
177,andhra-pradesh,2020,1,anantapur district,971850
178,andhra-pradesh,2020,1,kurnool district,936293
179,andhra-pradesh,2020,1,guntur district,1289678
180,andhra-pradesh,2020,1,krishna district,1331602
181,andhra-pradesh,2020,1,spsr nellore district,775440
182,andhra-pradesh,2020,1,vizianagaram district,490683
183,andhra-pradesh,2020,1,ysr district,717865
184,andhra-pradesh,2020,1,west godavari district,843835
185,andhra-pradesh,2020,1,chittoor district,1270907
186,andhra-pradesh,2020,2,east godavari district,1459116
187,andhra-pradesh,2020,2,srikakulam district,608002
188,andhra-pradesh,2020,2,visakhapatnam district,1904719
189,andhra-pradesh,2020,2,prakasam district,830709
190,andhra-pradesh,2020,2,anantapur district,1076953
191,andhra-pradesh,2020,2,kurnool district,1035093
192,andhra-pradesh,2020,2,guntur district,1426271
193,andhra-pradesh,2020,2,krishna district,1459041
194,andhra-pradesh,2020,2,spsr nellore district,854459
195,andhra-pradesh,2020,2,vizianagaram district,537798
196,andhra-pradesh,2020,2,ysr district,796769
197,andhra-pradesh,2020,2,west godavari district,944829
198,andhra-pradesh,2020,2,chittoor district,1385916
199,andhra-pradesh,2020,3,east godavari district,1601940
200,andhra-pradesh,2020,3,srikakulam district,667858
201,andhra-pradesh,2020,3,visakhapatnam district,2058346
202,andhra-pradesh,2020,3,prakasam district,915240
203,andhra-pradesh,2020,3,anantapur district,1186851
204,andhra-pradesh,2020,3,kurnool district,1132240
205,andhra-pradesh,2020,3,guntur district,1567595
206,andhra-pradesh,2020,3,krishna district,1599289
207,andhra-pradesh,2020,3,spsr nellore district,937176
208,andhra-pradesh,2020,3,vizianagaram district,587784
209,andhra-pradesh,2020,3,ysr district,877909
210,andhra-pradesh,2020,3,west godavari district,1053674
211,andhra-pradesh,2020,3,chittoor district,1506503
212,andhra-pradesh,2020,4,east godavari district,1746280
213,andhra-pradesh,2020,4,srikakulam district,726761
214,andhra-pradesh,2020,4,visakhapatnam district,2209658
215,andhra-pradesh,2020,4,prakasam district,999462
216,andhra-pradesh,2020,4,anantapur district,1295872
217,andhra-pradesh,2020,4,kurnool district,1230466
218,andhra-pradesh,2020,4,guntur district,1712940
219,andhra-pradesh,2020,4,krishna district,1744028
220,andhra-pradesh,2020,4,spsr nellore district,1022944
221,andhra-pradesh,2020,4,vizianagaram district,634462
222,andhra-pradesh,2020,4,ysr district,959182
223,andhra-pradesh,2020,4,west godavari district,1163179
224,andhra-pradesh,2020,4,chittoor district,1631331
225,andhra-pradesh,2021,1,east godavari district,1878769
226,andhra-pradesh,2021,1,srikakulam district,782604
227,andhra-pradesh,2021,1,visakhapatnam district,2368081
228,andhra-pradesh,2021,1,prakasam district,1075936
229,andhra-pradesh,2021,1,anantapur district,1394849
230,andhra-pradesh,2021,1,kurnool district,1323411
231,andhra-pradesh,2021,1,guntur district,1843237
232,andhra-pradesh,2021,1,krishna district,1876458
233,andhra-pradesh,2021,1,spsr nellore district,1100541
234,andhra-pradesh,2021,1,vizianagaram district,681621
235,andhra-pradesh,2021,1,ysr district,1032689
236,andhra-pradesh,2021,1,west godavari district,1254117
237,andhra-pradesh,2021,1,chittoor district,1751420
238,andhra-pradesh,2021,2,east godavari district,2006272
239,andhra-pradesh,2021,2,srikakulam district,837958
240,andhra-pradesh,2021,2,visakhapatnam district,2526830
241,andhra-pradesh,2021,2,prakasam district,1151232
242,andhra-pradesh,2021,2,anantapur district,1492738
243,andhra-pradesh,2021,2,kurnool district,1415585
244,andhra-pradesh,2021,2,guntur district,1968681
245,andhra-pradesh,2021,2,krishna district,2002662
246,andhra-pradesh,2021,2,spsr nellore district,1176334
247,andhra-pradesh,2021,2,vizianagaram district,729509
