,State,Year,Quarter,District,Registered_User
3535,delhi,2023,3,south west district,1435544
3536,delhi,2023,3,south east delhi district,2133173
3537,delhi,2023,3,shahdara district,1086372
3538,delhi,2023,3,north east district,978886
3539,delhi,2023,3,east district,1322844
3540,delhi,2023,3,north west district,1866671
3541,delhi,2023,3,north district,1528582
3542,goa,2018,1,north goa district,57769
3543,goa,2018,1,south goa district,34167
3544,goa,2018,2,north goa district,76192
3545,goa,2018,2,south goa district,45982
3546,goa,2018,3,north goa district,95307
3547,goa,2018,3,south goa district,58495
3548,goa,2018,4,north goa district,121001
3549,goa,2018,4,south goa district,74349
3550,goa,2019,1,north goa district,147802
3551,goa,2019,1,south goa district,90350
3552,goa,2019,2,north goa district,173002
3553,goa,2019,2,south goa district,105938
3554,goa,2019,3,north goa district,197361
3555,goa,2019,3,south goa district,119833
3556,goa,2019,4,north goa district,220385
3557,goa,2019,4,south goa district,133161
3558,goa,2020,1,north goa district,244309
3559,goa,2020,1,south goa district,147591
3560,goa,2020,2,north goa district,267533
3561,goa,2020,2,south goa district,163106
3562,goa,2020,3,north goa district,294195
3563,goa,2020,3,south goa district,180767
3564,goa,2020,4,north goa district,326479
3565,goa,2020,4,south goa district,201105
3566,goa,2021,1,north goa district,352593
3567,goa,2021,1,south goa district,217442
3568,goa,2021,2,north goa district,376703
3569,goa,2021,2,south goa district,232403
3570,goa,2021,3,north goa district,403952
3571,goa,2021,3,south goa district,249506
3572,goa,2021,4,north goa district,430814
3573,goa,2021,4,south goa district,266364
3574,goa,2022,1,north goa district,456250
3575,goa,2022,1,south goa district,282378
3576,goa,2022,2,north goa district,480353
3577,goa,2022,2,south goa district,297426
3578,goa,2022,3,north goa district,504946
3579,goa,2022,3,south goa district,312884
3580,goa,2022,4,north goa district,527826
3581,goa,2022,4,south goa district,327376
3582,goa,2023,1,north goa district,550554
3583,goa,2023,1,south goa district,341631
3584,goa,2023,2,north goa district,571111
3585,goa,2023,2,south goa district,354909
3586,goa,2023,3,north goa district,593176
3587,goa,2023,3,south goa district,368655
3588,gujarat,2018,1,anand district,68052
3589,gujarat,2018,1,jamnagar district,52416
3590,gujarat,2018,1,devbhumi dwarka district,15809
3591,gujarat,2018,1,rajkot district,133017
3592,gujarat,2018,1,aravallis district,21932
3593,gujarat,2018,1,chhotaudepur district,6581
3594,gujarat,2018,1,botad district,23738
3595,gujarat,2018,1,bharuch district,101575
3596,gujarat,2018,1,bhavnagar district,87683
3597,gujarat,2018,1,junagadh district,35171
3598,gujarat,2018,1,mahesana district,97004
3599,gujarat,2018,1,the dangs district,2285
3600,gujarat,2018,1,kheda district,43776
3601,gujarat,2018,1,surat district,489852
3602,gujarat,2018,1,porbandar district,12401
3603,gujarat,2018,1,gandhinagar district,118201
3604,gujarat,2018,1,panch mahals district,32263
3605,gujarat,2018,1,narmada district,6464
3606,gujarat,2018,1,gir somnath district,28292
3607,gujarat,2018,1,valsad district,80138
3608,gujarat,2018,1,mahisagar district,11048
3609,gujarat,2018,1,sabar kantha district,45018
3610,gujarat,2018,1,tapi district,14231
3611,gujarat,2018,1,vadodara district,205722
3612,gujarat,2018,1,banas kantha district,93506
3613,gujarat,2018,1,amreli district,31443
3614,gujarat,2018,1,ahmadabad district,572811
3615,gujarat,2018,1,dohad district,16212
3616,gujarat,2018,1,navsari district,35437
3617,gujarat,2018,1,patan district,41580
3618,gujarat,2018,1,kachchh district,97838
3619,gujarat,2018,1,surendranagar district,38223
3620,gujarat,2018,1,morbi district,30329
3621,gujarat,2018,2,anand district,90911
3622,gujarat,2018,2,jamnagar district,68512
3623,gujarat,2018,2,devbhumi dwarka district,20804
3624,gujarat,2018,2,rajkot district,174778
3625,gujarat,2018,2,aravallis district,29047
3626,gujarat,2018,2,chhotaudepur district,9053
3627,gujarat,2018,2,botad district,32883
3628,gujarat,2018,2,bharuch district,134500
3629,gujarat,2018,2,bhavnagar district,115812
3630,gujarat,2018,2,junagadh district,46665
3631,gujarat,2018,2,mahesana district,127614
3632,gujarat,2018,2,the dangs district,3047
3633,gujarat,2018,2,kheda district,60097
3634,gujarat,2018,2,surat district,652372
3635,gujarat,2018,2,porbandar district,16137
3636,gujarat,2018,2,gandhinagar district,155539
3637,gujarat,2018,2,panch mahals district,42575
3638,gujarat,2018,2,narmada district,8940
3639,gujarat,2018,2,gir somnath district,37769
3640,gujarat,2018,2,valsad district,107556
3641,gujarat,2018,2,mahisagar district,15010
3642,gujarat,2018,2,sabar kantha district,59955
3643,gujarat,2018,2,tapi district,19255
3644,gujarat,2018,2,vadodara district,271730
3645,gujarat,2018,2,banas kantha district,125849
3646,gujarat,2018,2,amreli district,42021
3647,gujarat,2018,2,ahmadabad district,751746
3648,gujarat,2018,2,dohad district,21983
3649,gujarat,2018,2,navsari district,47911
3650,gujarat,2018,2,patan district,55482
3651,gujarat,2018,2,kachchh district,128064
3652,gujarat,2018,2,surendranagar district,51527
3653,gujarat,2018,2,morbi district,40681
3654,gujarat,2018,3,anand district,116188
3655,gujarat,2018,3,jamnagar district,84886
3656,gujarat,2018,3,devbhumi dwarka district,26394
3657,gujarat,2018,3,rajkot district,215459
3658,gujarat,2018,3,aravallis district,37199
3659,gujarat,2018,3,chhotaudepur district,12302
3660,gujarat,2018,3,botad district,40559
3661,gujarat,2018,3,bharuch district,169322
3662,gujarat,2018,3,bhavnagar district,141243
3663,gujarat,2018,3,junagadh district,57716
3664,gujarat,2018,3,mahesana district,157274
3665,gujarat,2018,3,the dangs district,4052
3666,gujarat,2018,3,kheda district,80213
3667,gujarat,2018,3,surat district,808005
3668,gujarat,2018,3,porbandar district,19921
3669,gujarat,2018,3,gandhinagar district,190882
3670,gujarat,2018,3,panch mahals district,53825
3671,gujarat,2018,3,narmada district,11957
3672,gujarat,2018,3,gir somnath district,47541
3673,gujarat,2018,3,valsad district,136470
3674,gujarat,2018,3,mahisagar district,19564
3675,gujarat,2018,3,sabar kantha district,74642
3676,gujarat,2018,3,tapi district,25095
3677,gujarat,2018,3,vadodara district,335125
3678,gujarat,2018,3,banas kantha district,159591
3679,gujarat,2018,3,amreli district,53845
3680,gujarat,2018,3,ahmadabad district,919252
3681,gujarat,2018,3,dohad district,28857
3682,gujarat,2018,3,navsari district,60676
3683,gujarat,2018,3,patan district,68979
3684,gujarat,2018,3,kachchh district,158762
3685,gujarat,2018,3,surendranagar district,65325
3686,gujarat,2018,3,morbi district,52062
3687,gujarat,2018,4,anand district,146258
3688,gujarat,2018,4,jamnagar district,103876
3689,gujarat,2018,4,devbhumi dwarka district,32660
3690,gujarat,2018,4,rajkot district,260602
3691,gujarat,2018,4,aravallis district,46665
3692,gujarat,2018,4,chhotaudepur district,16321
3693,gujarat,2018,4,botad district,49066
3694,gujarat,2018,4,bharuch district,211843
3695,gujarat,2018,4,bhavnagar district,173699
3696,gujarat,2018,4,junagadh district,70174
3697,gujarat,2018,4,mahesana district,192493
3698,gujarat,2018,4,the dangs district,5165
3699,gujarat,2018,4,kheda district,103292
3700,gujarat,2018,4,surat district,998807
3701,gujarat,2018,4,porbandar district,24373
3702,gujarat,2018,4,gandhinagar district,242368
3703,gujarat,2018,4,panch mahals district,68139
3704,gujarat,2018,4,narmada district,15550
3705,gujarat,2018,4,gir somnath district,58991
3706,gujarat,2018,4,valsad district,172711
3707,gujarat,2018,4,mahisagar district,25483
3708,gujarat,2018,4,sabar kantha district,91898
3709,gujarat,2018,4,tapi district,31929
3710,gujarat,2018,4,vadodara district,421895
3711,gujarat,2018,4,banas kantha district,197774
3712,gujarat,2018,4,amreli district,67020
3713,gujarat,2018,4,ahmadabad district,1212636
3714,gujarat,2018,4,dohad district,36773
3715,gujarat,2018,4,navsari district,75930
3716,gujarat,2018,4,patan district,84408
3717,gujarat,2018,4,kachchh district,195295
3718,gujarat,2018,4,surendranagar district,80167
3719,gujarat,2018,4,morbi district,64779
3720,gujarat,2019,1,anand district,175515
3721,gujarat,2019,1,jamnagar district,121494
3722,gujarat,2019,1,devbhumi dwarka district,38898
3723,gujarat,2019,1,rajkot district,304415
3724,gujarat,2019,1,aravallis district,56005
3725,gujarat,2019,1,chhotaudepur district,20287
3726,gujarat,2019,1,botad district,58126
3727,gujarat,2019,1,bharuch district,252826
3728,gujarat,2019,1,bhavnagar district,203617
3729,gujarat,2019,1,junagadh district,82263
3730,gujarat,2019,1,mahesana district,230403
3731,gujarat,2019,1,the dangs district,6307
3732,gujarat,2019,1,kheda district,124598
3733,gujarat,2019,1,surat district,1180819
3734,gujarat,2019,1,porbandar district,28860
3735,gujarat,2019,1,gandhinagar district,291858
3736,gujarat,2019,1,panch mahals district,81863
3737,gujarat,2019,1,narmada district,19105
3738,gujarat,2019,1,gir somnath district,69872
3739,gujarat,2019,1,valsad district,209477
3740,gujarat,2019,1,mahisagar district,31147
3741,gujarat,2019,1,sabar kantha district,109651
3742,gujarat,2019,1,tapi district,39195
3743,gujarat,2019,1,vadodara district,502520
3744,gujarat,2019,1,banas kantha district,239613
3745,gujarat,2019,1,amreli district,79690
3746,gujarat,2019,1,ahmadabad district,1450100
3747,gujarat,2019,1,dohad district,45141
3748,gujarat,2019,1,navsari district,91812
3749,gujarat,2019,1,patan district,101323
3750,gujarat,2019,1,kachchh district,231871
3751,gujarat,2019,1,surendranagar district,95904
3752,gujarat,2019,1,morbi district,77961
3753,gujarat,2019,2,anand district,200007
3754,gujarat,2019,2,jamnagar district,138108
3755,gujarat,2019,2,devbhumi dwarka district,44975
3756,gujarat,2019,2,rajkot district,345178
3757,gujarat,2019,2,aravallis district,64792
3758,gujarat,2019,2,chhotaudepur district,23917
3759,gujarat,2019,2,botad district,65918
3760,gujarat,2019,2,bharuch district,284296
3761,gujarat,2019,2,bhavnagar district,230394
3762,gujarat,2019,2,junagadh district,94221
3763,gujarat,2019,2,mahesana district,259949
3764,gujarat,2019,2,the dangs district,7532
3765,gujarat,2019,2,kheda district,144091
3766,gujarat,2019,2,surat district,1338584
3767,gujarat,2019,2,porbandar district,33374
3768,gujarat,2019,2,gandhinagar district,333056
3769,gujarat,2019,2,panch mahals district,92621
3770,gujarat,2019,2,narmada district,22503
3771,gujarat,2019,2,gir somnath district,79786
3772,gujarat,2019,2,valsad district,238764
3773,gujarat,2019,2,mahisagar district,36155
3774,gujarat,2019,2,sabar kantha district,123754
3775,gujarat,2019,2,tapi district,45441
3776,gujarat,2019,2,vadodara district,572031
3777,gujarat,2019,2,banas kantha district,271379
3778,gujarat,2019,2,amreli district,91819
3779,gujarat,2019,2,ahmadabad district,1656341
3780,gujarat,2019,2,dohad district,52197
3781,gujarat,2019,2,navsari district,106244
3782,gujarat,2019,2,patan district,115299
3783,gujarat,2019,2,kachchh district,261458
3784,gujarat,2019,2,surendranagar district,110431
3785,gujarat,2019,2,morbi district,90030
3786,gujarat,2019,3,anand district,226293
3787,gujarat,2019,3,jamnagar district,154042
3788,gujarat,2019,3,devbhumi dwarka district,49534
3789,gujarat,2019,3,rajkot district,384852
3790,gujarat,2019,3,aravallis district,73003
3791,gujarat,2019,3,chhotaudepur district,27128
3792,gujarat,2019,3,botad district,72181
3793,gujarat,2019,3,bharuch district,315856
3794,gujarat,2019,3,bhavnagar district,255608
3795,gujarat,2019,3,junagadh district,104847
3796,gujarat,2019,3,mahesana district,286652
3797,gujarat,2019,3,the dangs district,8306
3798,gujarat,2019,3,kheda district,162956
3799,gujarat,2019,3,surat district,1481391
3800,gujarat,2019,3,porbandar district,36834
3801,gujarat,2019,3,gandhinagar district,372464
3802,gujarat,2019,3,panch mahals district,102546
3803,gujarat,2019,3,narmada district,25267
3804,gujarat,2019,3,gir somnath district,88366
3805,gujarat,2019,3,valsad district,266134
3806,gujarat,2019,3,mahisagar district,40679
3807,gujarat,2019,3,sabar kantha district,138237
3808,gujarat,2019,3,tapi district,51028
3809,gujarat,2019,3,vadodara district,637678
3810,gujarat,2019,3,banas kantha district,301373
3811,gujarat,2019,3,amreli district,101453
3812,gujarat,2019,3,ahmadabad district,1848860
3813,gujarat,2019,3,dohad district,59460
3814,gujarat,2019,3,navsari district,118324
3815,gujarat,2019,3,patan district,128573
3816,gujarat,2019,3,kachchh district,285519
3817,gujarat,2019,3,surendranagar district,122518
3818,gujarat,2019,3,morbi district,101337
3819,gujarat,2019,4,anand district,252401
3820,gujarat,2019,4,jamnagar district,171337
3821,gujarat,2019,4,devbhumi dwarka district,55209
3822,gujarat,2019,4,rajkot district,426178
3823,gujarat,2019,4,aravallis district,83136
3824,gujarat,2019,4,chhotaudepur district,31338
3825,gujarat,2019,4,botad district,80499
3826,gujarat,2019,4,bharuch district,350619
3827,gujarat,2019,4,bhavnagar district,286520
3828,gujarat,2019,4,junagadh district,117357
3829,gujarat,2019,4,mahesana district,316985
3830,gujarat,2019,4,the dangs district,9594
3831,gujarat,2019,4,kheda district,182669
3832,gujarat,2019,4,surat district,1624077
3833,gujarat,2019,4,porbandar district,40962
3834,gujarat,2019,4,gandhinagar district,408526
3835,gujarat,2019,4,panch mahals district,115707
3836,gujarat,2019,4,narmada district,28910
3837,gujarat,2019,4,gir somnath district,98982
3838,gujarat,2019,4,valsad district,296977
3839,gujarat,2019,4,mahisagar district,47237
3840,gujarat,2019,4,sabar kantha district,155618
3841,gujarat,2019,4,tapi district,58115
3842,gujarat,2019,4,vadodara district,700817
3843,gujarat,2019,4,banas kantha district,339582
3844,gujarat,2019,4,amreli district,114242
3845,gujarat,2019,4,ahmadabad district,2015947
3846,gujarat,2019,4,dohad district,69618
3847,gujarat,2019,4,navsari district,131460
3848,gujarat,2019,4,patan district,144779
3849,gujarat,2019,4,kachchh district,314732
3850,gujarat,2019,4,surendranagar district,138218
3851,gujarat,2019,4,morbi district,115451
3852,gujarat,2020,1,anand district,277835
3853,gujarat,2020,1,jamnagar district,188224
3854,gujarat,2020,1,devbhumi dwarka district,61293
3855,gujarat,2020,1,rajkot district,469636
3856,gujarat,2020,1,aravallis district,94716
3857,gujarat,2020,1,chhotaudepur district,36116
3858,gujarat,2020,1,botad district,88241
3859,gujarat,2020,1,bharuch district,384819
3860,gujarat,2020,1,bhavnagar district,315412
3861,gujarat,2020,1,junagadh district,130231
3862,gujarat,2020,1,mahesana district,349897
3863,gujarat,2020,1,the dangs district,10877
3864,gujarat,2020,1,kheda district,204548
3865,gujarat,2020,1,surat district,1772703
3866,gujarat,2020,1,porbandar district,45383
3867,gujarat,2020,1,gandhinagar district,445290
3868,gujarat,2020,1,panch mahals district,129831
3869,gujarat,2020,1,narmada district,33074
3870,gujarat,2020,1,gir somnath district,110211
3871,gujarat,2020,1,valsad district,330053
3872,gujarat,2020,1,mahisagar district,54880
3873,gujarat,2020,1,sabar kantha district,174426
3874,gujarat,2020,1,tapi district,65634
3875,gujarat,2020,1,vadodara district,763969
3876,gujarat,2020,1,banas kantha district,386212
3877,gujarat,2020,1,amreli district,126423
3878,gujarat,2020,1,ahmadabad district,2185983
3879,gujarat,2020,1,dohad district,81529
3880,gujarat,2020,1,navsari district,146018
3881,gujarat,2020,1,patan district,164027
3882,gujarat,2020,1,kachchh district,347270
3883,gujarat,2020,1,surendranagar district,154610
3884,gujarat,2020,1,morbi district,130472
3885,gujarat,2020,2,anand district,307408
3886,gujarat,2020,2,jamnagar district,208647
3887,gujarat,2020,2,devbhumi dwarka district,69591
3888,gujarat,2020,2,rajkot district,522650
3889,gujarat,2020,2,aravallis district,109491
3890,gujarat,2020,2,chhotaudepur district,43696
3891,gujarat,2020,2,botad district,100129
3892,gujarat,2020,2,bharuch district,423017
3893,gujarat,2020,2,bhavnagar district,354301
3894,gujarat,2020,2,junagadh district,147012
3895,gujarat,2020,2,mahesana district,389562
3896,gujarat,2020,2,the dangs district,12754
3897,gujarat,2020,2,kheda district,232123
3898,gujarat,2020,2,surat district,1935894
3899,gujarat,2020,2,porbandar district,50733
3900,gujarat,2020,2,gandhinagar district,488351
3901,gujarat,2020,2,panch mahals district,148675
3902,gujarat,2020,2,narmada district,39531
3903,gujarat,2020,2,gir somnath district,125777
3904,gujarat,2020,2,valsad district,372771
3905,gujarat,2020,2,mahisagar district,64428
3906,gujarat,2020,2,sabar kantha district,196035
3907,gujarat,2020,2,tapi district,76018
3908,gujarat,2020,2,vadodara district,830759
3909,gujarat,2020,2,banas kantha district,446603
3910,gujarat,2020,2,amreli district,145486
3911,gujarat,2020,2,ahmadabad district,2384154
3912,gujarat,2020,2,dohad district,102250
3913,gujarat,2020,2,navsari district,166398
3914,gujarat,2020,2,patan district,185703
3915,gujarat,2020,2,kachchh district,385480
3916,gujarat,2020,2,surendranagar district,176758
3917,gujarat,2020,2,morbi district,150472
3918,gujarat,2020,3,anand district,336799
3919,gujarat,2020,3,jamnagar district,227798
3920,gujarat,2020,3,devbhumi dwarka district,76991
3921,gujarat,2020,3,rajkot district,573062
3922,gujarat,2020,3,aravallis district,122687
3923,gujarat,2020,3,chhotaudepur district,49929
3924,gujarat,2020,3,botad district,109438
3925,gujarat,2020,3,bharuch district,462292
3926,gujarat,2020,3,bhavnagar district,387781
3927,gujarat,2020,3,junagadh district,163177
3928,gujarat,2020,3,mahesana district,427950
3929,gujarat,2020,3,the dangs district,14501
3930,gujarat,2020,3,kheda district,256968
3931,gujarat,2020,3,surat district,2092712
3932,gujarat,2020,3,porbandar district,56130
3933,gujarat,2020,3,gandhinagar district,529771
3934,gujarat,2020,3,panch mahals district,165251
3935,gujarat,2020,3,narmada district,44654
3936,gujarat,2020,3,gir somnath district,139141
3937,gujarat,2020,3,valsad district,410740
3938,gujarat,2020,3,mahisagar district,73191
3939,gujarat,2020,3,sabar kantha district,218309
3940,gujarat,2020,3,tapi district,84921
3941,gujarat,2020,3,vadodara district,901492
3942,gujarat,2020,3,banas kantha district,501471
3943,gujarat,2020,3,amreli district,161288
3944,gujarat,2020,3,ahmadabad district,2580178
3945,gujarat,2020,3,dohad district,118431
3946,gujarat,2020,3,navsari district,183779
3947,gujarat,2020,3,patan district,206708
3948,gujarat,2020,3,kachchh district,423729
3949,gujarat,2020,3,surendranagar district,197594
3950,gujarat,2020,3,morbi district,168984
3951,gujarat,2020,4,anand district,367561
3952,gujarat,2020,4,jamnagar district,248187
3953,gujarat,2020,4,devbhumi dwarka district,84750
3954,gujarat,2020,4,rajkot district,627654
3955,gujarat,2020,4,aravallis district,135616
3956,gujarat,2020,4,chhotaudepur district,56282
3957,gujarat,2020,4,botad district,117629
3958,gujarat,2020,4,bharuch district,508005
3959,gujarat,2020,4,bhavnagar district,419697
3960,gujarat,2020,4,junagadh district,178595
3961,gujarat,2020,4,mahesana district,464932
3962,gujarat,2020,4,the dangs district,16317
3963,gujarat,2020,4,kheda district,282429
3964,gujarat,2020,4,surat district,2278232
3965,gujarat,2020,4,porbandar district,62166
3966,gujarat,2020,4,gandhinagar district,572461
3967,gujarat,2020,4,panch mahals district,182696
3968,gujarat,2020,4,narmada district,50130
3969,gujarat,2020,4,gir somnath district,152104
3970,gujarat,2020,4,valsad district,452628
3971,gujarat,2020,4,mahisagar district,81588
3972,gujarat,2020,4,sabar kantha district,240357
3973,gujarat,2020,4,tapi district,94476
3974,gujarat,2020,4,vadodara district,980658
3975,gujarat,2020,4,banas kantha district,551645
3976,gujarat,2020,4,amreli district,176011
3977,gujarat,2020,4,ahmadabad district,2787991
3978,gujarat,2020,4,dohad district,132954
3979,gujarat,2020,4,navsari district,201412
3980,gujarat,2020,4,patan district,227441
3981,gujarat,2020,4,kachchh district,466855
3982,gujarat,2020,4,surendranagar district,216954
3983,gujarat,2020,4,morbi district,188790
3984,gujarat,2021,1,anand district,395164
3985,gujarat,2021,1,jamnagar district,267315
3986,gujarat,2021,1,devbhumi dwarka district,91653
3987,gujarat,2021,1,rajkot district,677301
3988,gujarat,2021,1,aravallis district,146811
3989,gujarat,2021,1,chhotaudepur district,61097
3990,gujarat,2021,1,botad district,126302
3991,gujarat,2021,1,bharuch district,548541
3992,gujarat,2021,1,bhavnagar district,450462
3993,gujarat,2021,1,junagadh district,192500
3994,gujarat,2021,1,mahesana district,500511
3995,gujarat,2021,1,the dangs district,17658
3996,gujarat,2021,1,kheda district,304909
3997,gujarat,2021,1,surat district,2458596
3998,gujarat,2021,1,porbandar district,67063
3999,gujarat,2021,1,gandhinagar district,615315
4000,gujarat,2021,1,panch mahals district,197602
4001,gujarat,2021,1,narmada district,54427
4002,gujarat,2021,1,gir somnath district,163763
4003,gujarat,2021,1,valsad district,489062
4004,gujarat,2021,1,mahisagar district,88343
4005,gujarat,2021,1,sabar kantha district,259578
4006,gujarat,2021,1,tapi district,102144
4007,gujarat,2021,1,vadodara district,1053954
4008,gujarat,2021,1,banas kantha district,598384
4009,gujarat,2021,1,amreli district,189252
4010,gujarat,2021,1,ahmadabad district,2999575
4011,gujarat,2021,1,dohad district,144445
4012,gujarat,2021,1,navsari district,216841
4013,gujarat,2021,1,patan district,246083
4014,gujarat,2021,1,kachchh district,505517
4015,gujarat,2021,1,surendranagar district,234429
4016,gujarat,2021,1,morbi district,205529
4017,gujarat,2021,2,anand district,422965
4018,gujarat,2021,2,jamnagar district,287113
4019,gujarat,2021,2,devbhumi dwarka district,98957
4020,gujarat,2021,2,rajkot district,726817
4021,gujarat,2021,2,aravallis district,158083
4022,gujarat,2021,2,chhotaudepur district,66155
4023,gujarat,2021,2,botad district,135845
4024,gujarat,2021,2,bharuch district,588777
4025,gujarat,2021,2,bhavnagar district,483224
4026,gujarat,2021,2,junagadh district,207118
4027,gujarat,2021,2,mahesana district,536645
4028,gujarat,2021,2,the dangs district,19033
4029,gujarat,2021,2,kheda district,327251
4030,gujarat,2021,2,surat district,2633443
4031,gujarat,2021,2,porbandar district,72172
4032,gujarat,2021,2,gandhinagar district,658428
4033,gujarat,2021,2,panch mahals district,212616
4034,gujarat,2021,2,narmada district,58790
4035,gujarat,2021,2,gir somnath district,176061
4036,gujarat,2021,2,valsad district,524614
4037,gujarat,2021,2,mahisagar district,95143
4038,gujarat,2021,2,sabar kantha district,278539
4039,gujarat,2021,2,tapi district,109719
4040,gujarat,2021,2,vadodara district,1127636
4041,gujarat,2021,2,banas kantha district,645073
4042,gujarat,2021,2,amreli district,204136
4043,gujarat,2021,2,ahmadabad district,3209841
4044,gujarat,2021,2,dohad district,155988
4045,gujarat,2021,2,navsari district,232448
4046,gujarat,2021,2,patan district,265040
4047,gujarat,2021,2,kachchh district,543585
4048,gujarat,2021,2,surendranagar district,253097
4049,gujarat,2021,2,morbi district,221629
4050,gujarat,2021,3,anand district,454516
4051,gujarat,2021,3,jamnagar district,309842
4052,gujarat,2021,3,devbhumi dwarka district,107517
4053,gujarat,2021,3,rajkot district,782611
4054,gujarat,2021,3,aravallis district,171101
4055,gujarat,2021,3,chhotaudepur district,72071
4056,gujarat,2021,3,botad district,146842
4057,gujarat,2021,3,bharuch district,634589
4058,gujarat,2021,3,bhavnagar district,520764
4059,gujarat,2021,3,junagadh district,223916
4060,gujarat,2021,3,mahesana district,578072
4061,gujarat,2021,3,the dangs district,20709
4062,gujarat,2021,3,kheda district,352948
4063,gujarat,2021,3,surat district,2830392
4064,gujarat,2021,3,porbandar district,78063
4065,gujarat,2021,3,gandhinagar district,706654
4066,gujarat,2021,3,panch mahals district,229915
4067,gujarat,2021,3,narmada district,63821
4068,gujarat,2021,3,gir somnath district,190336
4069,gujarat,2021,3,valsad district,565423
4070,gujarat,2021,3,mahisagar district,103140
4071,gujarat,2021,3,sabar kantha district,300258
4072,gujarat,2021,3,tapi district,118730
4073,gujarat,2021,3,vadodara district,1210266
4074,gujarat,2021,3,banas kantha district,698841
4075,gujarat,2021,3,amreli district,221334
4076,gujarat,2021,3,ahmadabad district,3445024
4077,gujarat,2021,3,dohad district,169037
4078,gujarat,2021,3,navsari district,250233
4079,gujarat,2021,3,patan district,287021
4080,gujarat,2021,3,kachchh district,587589
4081,gujarat,2021,3,surendranagar district,274891
4082,gujarat,2021,3,morbi district,240295
4083,gujarat,2021,4,anand district,485306
4084,gujarat,2021,4,jamnagar district,331942
4085,gujarat,2021,4,devbhumi dwarka district,115900
4086,gujarat,2021,4,rajkot district,837869
4087,gujarat,2021,4,aravallis district,183617
4088,gujarat,2021,4,chhotaudepur district,77777
4089,gujarat,2021,4,botad district,157462
4090,gujarat,2021,4,bharuch district,679705
4091,gujarat,2021,4,bhavnagar district,558013
4092,gujarat,2021,4,junagadh district,240022
4093,gujarat,2021,4,mahesana district,618376
4094,gujarat,2021,4,the dangs district,22325
4095,gujarat,2021,4,kheda district,377827
4096,gujarat,2021,4,surat district,3026960
4097,gujarat,2021,4,porbandar district,83713
4098,gujarat,2021,4,gandhinagar district,754369
4099,gujarat,2021,4,panch mahals district,246694
4100,gujarat,2021,4,narmada district,68577
4101,gujarat,2021,4,gir somnath district,204170
4102,gujarat,2021,4,valsad district,605655
4103,gujarat,2021,4,mahisagar district,110939
4104,gujarat,2021,4,sabar kantha district,321717
4105,gujarat,2021,4,tapi district,127186
4106,gujarat,2021,4,vadodara district,1292097
4107,gujarat,2021,4,banas kantha district,751116
4108,gujarat,2021,4,amreli district,237874
4109,gujarat,2021,4,ahmadabad district,3679243
4110,gujarat,2021,4,dohad district,181787
4111,gujarat,2021,4,navsari district,267352
4112,gujarat,2021,4,patan district,308499
4113,gujarat,2021,4,kachchh district,630878
4114,gujarat,2021,4,surendranagar district,295801
4115,gujarat,2021,4,morbi district,258433
4116,gujarat,2022,1,anand district,514400
4117,gujarat,2022,1,jamnagar district,352844
4118,gujarat,2022,1,devbhumi dwarka district,123599
4119,gujarat,2022,1,rajkot district,889499
4120,gujarat,2022,1,aravallis district,195778
4121,gujarat,2022,1,chhotaudepur district,83102
4122,gujarat,2022,1,botad district,167646
4123,gujarat,2022,1,bharuch district,722367
4124,gujarat,2022,1,bhavnagar district,593259
4125,gujarat,2022,1,junagadh district,255421
4126,gujarat,2022,1,mahesana district,656908
4127,gujarat,2022,1,the dangs district,23744
4128,gujarat,2022,1,kheda district,401982
4129,gujarat,2022,1,surat district,3210535
4130,gujarat,2022,1,porbandar district,89084
4131,gujarat,2022,1,gandhinagar district,799301
4132,gujarat,2022,1,panch mahals district,263066
4133,gujarat,2022,1,narmada district,73152
4134,gujarat,2022,1,gir somnath district,217816
4135,gujarat,2022,1,valsad district,643742
4136,gujarat,2022,1,mahisagar district,118430
4137,gujarat,2022,1,sabar kantha district,342020
4138,gujarat,2022,1,tapi district,135297
4139,gujarat,2022,1,vadodara district,1368210
4140,gujarat,2022,1,banas kantha district,802470
4141,gujarat,2022,1,amreli district,253714
4142,gujarat,2022,1,ahmadabad district,3897869
4143,gujarat,2022,1,dohad district,194298
4144,gujarat,2022,1,navsari district,283795
4145,gujarat,2022,1,patan district,329312
4146,gujarat,2022,1,kachchh district,671465
4147,gujarat,2022,1,surendranagar district,315677
4148,gujarat,2022,1,morbi district,275512
4149,gujarat,2022,2,anand district,541890
4150,gujarat,2022,2,jamnagar district,372354
4151,gujarat,2022,2,devbhumi dwarka district,130591
4152,gujarat,2022,2,rajkot district,937863
4153,gujarat,2022,2,aravallis district,206898
4154,gujarat,2022,2,chhotaudepur district,87903
4155,gujarat,2022,2,botad district,177233
4156,gujarat,2022,2,bharuch district,762752
4157,gujarat,2022,2,bhavnagar district,626197
4158,gujarat,2022,2,junagadh district,269699
4159,gujarat,2022,2,mahesana district,692794
4160,gujarat,2022,2,the dangs district,25026
4161,gujarat,2022,2,kheda district,424243
4162,gujarat,2022,2,surat district,3385398
4163,gujarat,2022,2,porbandar district,93938
4164,gujarat,2022,2,gandhinagar district,841732
4165,gujarat,2022,2,panch mahals district,277783
4166,gujarat,2022,2,narmada district,77313
4167,gujarat,2022,2,gir somnath district,230290
4168,gujarat,2022,2,valsad district,679340
4169,gujarat,2022,2,mahisagar district,125105
